video,t,persona,condicion,clase_real,pred_cruda,confianza,comando_aceptado,motivo_rechazo,latencia_ms,diagnostico_error
clase_0_20260921_193505.mp4,0.0,p01,normal,0,0,0.9997,,inestable,14.66,filtro
clase_0_20260921_193505.mp4,0.0333,p01,normal,0,0,0.9972,,inestable,2.12,filtro
clase_0_20260921_193505.mp4,0.0667,p01,normal,0,0,0.9914,0,,2.32,OK
clase_0_20260921_193505.mp4,0.1,p01,normal,0,0,0.9986,0,,2.36,OK
clase_0_20260921_193505.mp4,0.1333,p01,normal,0,0,0.9989,0,,2.56,OK
clase_0_20260921_193505.mp4,0.1667,p01,normal,0,0,0.9992,0,,2.11,OK
clase_0_20260921_193505.mp4,0.2,p01,normal,0,0,0.9989,0,,1.97,OK
clase_0_20260921_193505.mp4,0.2333,p01,normal,0,0,0.9972,0,,1.6,OK
clase_0_20260921_193505.mp4,0.2667,p01,normal,0,0,0.9978,0,,1.95,OK
clase_0_20260921_193505.mp4,0.3,p01,normal,0,0,0.9988,0,,2.68,OK
clase_0_20260921_193505.mp4,0.3333,p01,normal,0,0,0.997,0,,2.46,OK
clase_0_20260921_193505.mp4,0.3667,p01,normal,0,0,0.9984,0,,2.24,OK
clase_0_20260921_193505.mp4,0.4,p01,normal,0,0,0.9953,0,,1.87,OK
clase_0_20260921_193505.mp4,0.4333,p01,normal,0,0,0.9987,0,,1.49,OK
clase_0_20260921_193505.mp4,0.4667,p01,normal,0,0,0.9986,0,,1.42,OK
clase_0_20260921_193505.mp4,0.5,p01,normal,0,0,0.9987,0,,1.44,OK
clase_0_20260921_193505.mp4,0.5333,p01,normal,0,0,0.9981,0,,2.53,OK
clase_0_20260921_193505.mp4,0.5667,p01,normal,0,0,0.9986,0,,2.38,OK
clase_0_20260921_193505.mp4,0.6,p01,normal,0,0,0.9995,0,,2.15,OK
clase_0_20260921_193505.mp4,0.6333,p01,normal,0,0,0.999,0,,1.83,OK
clase_0_20260921_193505.mp4,0.6667,p01,normal,0,0,0.9968,0,,1.52,OK
clase_0_20260921_193505.mp4,0.7,p01,normal,0,0,0.9915,0,,1.46,OK
